# _1100_cz_vpB12_set	t_cz_set	avg_S_North	su_S_North
# "_1100_cz_vpB12"	"t_cz"	"avg_S_North"	"su_S_North"
# 21	101
5	132	142.361653645833	0.363333333333333
5	133.5	130.818684895833	0.176666666666667
5	135	137.927042643229	0.293333333333333
5	136.5	153.184814453125	0.54
5	138	167.344970703125	0.783333333333333
5	139.5	174.920043945312	0.853333333333333
5	141	163.502604166667	0.683333333333333
5	142.5	141.080729166667	0.34
5	144	129.596964518229	0.183333333333333
5	145.5	134.118855794271	0.24
5	147	152.537434895833	0.53
5	148.5	168.906860351562	0.783333333333333
5	150	174.806111653646	0.89

10	0	173.399251302083	0.863333333333333
10	1.5	160.860595703125	0.676666666666667
10	3	142.088012695312	0.403333333333333
10	4.5	127.20947265625	0.143333333333333
10	6	133.882242838542	0.256666666666667
10	7.5	152.372233072917	0.533333333333333
10	9	168.27880859375	0.77
10	10.5	175.280354817708	0.873333333333333
10	12	162.584635416667	0.673333333333333
10	13.5	144.55810546875	0.396666666666667
10	15	130.615844726562	0.2
10	16.5	131.647745768229	0.21
10	18	153.028361002604	0.5
10	19.5	168.733723958333	0.766666666666667
10	21	175.552368164062	0.876666666666667
10	22.5	166.119791666667	0.716666666666667
10	24	152.551472981771	0.493333333333333
10	25.5	133.487548828125	0.203333333333333
10	27	135.327962239583	0.226666666666667
10	28.5	146.267903645833	0.433333333333333
10	30	168.327840169271	0.75
10	31.5	173.060506184896	0.81
10	33	169.034423828125	0.76
10	34.5	158.298136393229	0.61
10	36	135.190022786458	0.243333333333333
10	37.5	130.817260742188	0.17
10	39	141.020304361979	0.33
10	40.5	159.451293945312	0.63
10	42	174.438069661458	0.856666666666667
10	43.5	170.214029947917	0.806666666666667
10	45	156.925862630208	0.596666666666667
10	46.5	137.138061523438	0.28
10	48	130.299682617188	0.136666666666667
10	49.5	142.030029296875	0.3
10	51	157.532552083333	0.566666666666667
10	52.5	175.185953776042	0.83
10	54	176.989339192708	0.866666666666667
10	55.5	166.083374023438	0.686666666666667
10	57	146.249593098958	0.383333333333333
10	58.5	131.441650390625	0.193333333333333
10	60	137.994588216146	0.286666666666667
10	61.5	156.592407226562	0.566666666666667
10	63	170.859171549479	0.786666666666667
10	64.5	172.97607421875	0.83
10	66	168.214721679688	0.74
10	67.5	143.880411783854	0.39
10	69	127.847696940104	0.143333333333333
10	70.5	132.756958007812	0.216666666666667
10	72	152.828776041667	0.513333333333333
10	73.5	167.234903971354	0.696666666666667
10	75	177.803344726562	0.876666666666667
10	76.5	165.938110351562	0.743333333333333
10	78	149.663289388021	0.48
10	79.5	134.922281901042	0.246666666666667
10	81	129.077351888021	0.153333333333333
10	82.5	145.425821940104	0.4
10	84	167.055867513021	0.746666666666667
10	85.5	174.903564453125	0.863333333333333
10	87	172.013549804688	0.81
10	88.5	152.148030598958	0.496666666666667
10	90	137.651163736979	0.27
10	91.5	132.904256184896	0.193333333333333
10	93	151.054890950521	0.476666666666667
10	94.5	163.504435221354	0.68
10	96	174.5166015625	0.846666666666667
10	97.5	170.457763671875	0.783333333333333
10	99	156.151326497396	0.556666666666667
10	100.5	138.480428059896	0.286666666666667
10	102	130.267130533854	0.163333333333333
10	103.5	138.96240234375	0.296666666666667
10	105	154.718221028646	0.553333333333333
10	106.5	171.807250976562	0.82
10	108	172.981770833333	0.84
10	109.5	161.064453125	0.636666666666667
10	111	141.245727539062	0.336666666666667
10	112.5	129.148559570312	0.15
10	114	135.390625	0.253333333333333
10	115.5	155.271402994792	0.546666666666667
10	117	172.388305664062	0.816666666666667
10	118.5	175.437825520833	0.843333333333333
10	120	165.05615234375	0.713333333333333
10	121.5	144.1015625	0.39
10	123	130.70556640625	0.166666666666667
10	124.5	134.961344401042	0.24
10	126	149.821573893229	0.466666666666667
10	127.5	170.990600585938	0.773333333333333
10	129	178.971964518229	0.89
10	130.5	168.956909179688	0.75
10	132	149.576416015625	0.456666666666667
10	133.5	133.458455403646	0.23
10	135	134.831746419271	0.236666666666667
10	136.5	149.481608072917	0.443333333333333
10	138	171.675618489583	0.746666666666667
10	139.5	175.792032877604	0.843333333333333
10	141	173.969930013021	0.813333333333333
10	142.5	155.937093098958	0.51
10	144	140.3564453125	0.28
10	145.5	134.541422526042	0.166666666666667
10	147	148.352864583333	0.39
10	148.5	167.7392578125	0.73
10	150	175.537516276042	0.873333333333333

15	0	173.21533203125	0.816666666666667
15	1.5	164.3896484375	0.703333333333333
15	3	146.729939778646	0.413333333333333
15	4.5	131.852213541667	0.176666666666667
15	6	133.106282552083	0.213333333333333
15	7.5	152.693684895833	0.503333333333333
15	9	169.747721354167	0.766666666666667
15	10.5	175.539754231771	0.85
15	12	167.509358723958	0.736666666666667
15	13.5	150.751139322917	0.506666666666667
15	15	131.355794270833	0.206666666666667
15	16.5	132.269083658854	0.226666666666667
15	18	145.440470377604	0.433333333333333
15	19.5	163.782958984375	0.72
15	21	172.339070638021	0.833333333333333
15	22.5	168.835042317708	0.773333333333333
15	24	151.130167643229	0.51
15	25.5	131.318359375	0.22
15	27	129.246419270833	0.176666666666667
15	28.5	139.801839192708	0.346666666666667
15	30	159.979858398438	0.65
15	31.5	176.817423502604	0.88
15	33	175.915323893229	0.86
15	34.5	157.853393554688	0.603333333333333
15	36	135.744018554688	0.293333333333333
15	37.5	129.378458658854	0.163333333333333
15	39	135.937296549479	0.296666666666667
15	40.5	154.001261393229	0.553333333333333
15	42	169.727986653646	0.79
15	43.5	169.758911132812	0.806666666666667
15	45	160.471394856771	0.653333333333333
15	46.5	140.831909179688	0.37
15	48	129.944254557292	0.196666666666667
15	49.5	132.225748697917	0.22
15	51	152.757364908854	0.55
15	52.5	167.360229492188	0.773333333333333
15	54	170.225423177083	0.83
15	55.5	159.087320963542	0.646666666666667
15	57	142.350463867188	0.393333333333333
15	58.5	128.352457682292	0.146666666666667
15	60	129.666544596354	0.193333333333333
15	61.5	147.540690104167	0.45
15	63	166.254272460938	0.733333333333333
15	64.5	175.836588541667	0.886666666666667
15	66	167.853800455729	0.77
15	67.5	150.536702473958	0.483333333333333
15	69	133.106282552083	0.25
15	70.5	128.7548828125	0.193333333333333
15	72	140.428466796875	0.366666666666667
15	73.5	160.570475260417	0.653333333333333
15	75	173.6181640625	0.853333333333333
15	76.5	167.763061523438	0.766666666666667
15	78	152.12646484375	0.506666666666667
15	79.5	135.519205729167	0.27
15	81	127.710164388021	0.153333333333333
15	82.5	141.128133138021	0.366666666666667
15	84	158.828328450521	0.646666666666667
15	85.5	171.93603515625	0.843333333333333
15	87	167.29248046875	0.783333333333333
15	88.5	156.200358072917	0.593333333333333
15	90	140.856119791667	0.343333333333333
15	91.5	130.303141276042	0.156666666666667
15	93	138.844197591146	0.303333333333333
15	94.5	154.157104492188	0.53
15	96	169.862467447917	0.77
15	97.5	171.387532552083	0.79
15	99	163.189290364583	0.686666666666667
15	100.5	144.579671223958	0.393333333333333
15	102	128.407999674479	0.156666666666667
15	103.5	131.813761393229	0.213333333333333
15	105	147.75390625	0.46
15	106.5	162.839558919271	0.7
15	108	173.907674153646	0.85
15	109.5	166.819051106771	0.733333333333333
15	111	148.328653971354	0.456666666666667
15	112.5	133.759562174479	0.236666666666667
15	114	130.571695963542	0.203333333333333
15	115.5	145.293375651042	0.413333333333333
15	117	166.000366210938	0.716666666666667
15	118.5	173.806559244792	0.856666666666667
15	120	168.071899414062	0.763333333333333
15	121.5	152.140909830729	0.51
15	123	135.841267903646	0.266666666666667
15	124.5	131.720784505208	0.203333333333333
15	126	145.346069335938	0.423333333333333
15	127.5	161.813557942708	0.693333333333333
15	129	172.937215169271	0.86
15	130.5	170.1416015625	0.81
15	132	153.621419270833	0.56
15	133.5	134.490152994792	0.24
15	135	128.152058919271	0.15
15	136.5	143.511962890625	0.4
