# vP1_Q1Q4_AC_set	wait_q4_set	su_S_North
# "vP1_Q1Q4_AC"	"wait_q4"	"su_S_North"
# 21	61
55.3	46.5	0.305
55.3	48	0.235
55.3	49.5	0.24
55.3	51	0.245
55.3	52.5	0.495
55.3	54	0.515
55.3	55.5	0.75
55.3	57	0.715
55.3	58.5	0.815
55.3	60	0.85
55.3	61.5	0.69
55.3	63	0.725
55.3	64.5	0.535
55.3	66	0.41
55.3	67.5	0.27
55.3	69	0.355
55.3	70.5	0.295
55.3	72	0.24
55.3	73.5	0.33
55.3	75	0.365
55.3	76.5	0.665
55.3	78	0.745
55.3	79.5	0.8
55.3	81	0.775
55.3	82.5	0.7
55.3	84	0.715
55.3	85.5	0.46
55.3	87	0.48
55.3	88.5	0.34
55.3	90	0.38

55.2	0	0.58
55.2	1.5	0.385
55.2	3	0.31
55.2	4.5	0.16
55.2	6	0.155
55.2	7.5	0.205
55.2	9	0.315
55.2	10.5	0.465
55.2	12	0.605
55.2	13.5	0.815
55.2	15	0.89
55.2	16.5	0.895
55.2	18	0.77
55.2	19.5	0.67
55.2	21	0.48
55.2	22.5	0.385
55.2	24	0.315
55.2	25.5	0.175
55.2	27	0.15
55.2	28.5	0.26
55.2	30	0.395
55.2	31.5	0.49
55.2	33	0.625
55.2	34.5	0.8
55.2	36	0.795
55.2	37.5	0.84
55.2	39	0.745
55.2	40.5	0.655
55.2	42	0.49
55.2	43.5	0.375
55.2	45	0.4
55.2	46.5	0.23
55.2	48	0.215
55.2	49.5	0.44
55.2	51	0.49
55.2	52.5	0.605
55.2	54	0.77
55.2	55.5	0.81
55.2	57	0.775
55.2	58.5	0.705
55.2	60	0.56
55.2	61.5	0.635
55.2	63	0.41
55.2	64.5	0.32
55.2	66	0.39
55.2	67.5	0.34
55.2	69	0.455
55.2	70.5	0.63
55.2	72	0.68
55.2	73.5	0.615
55.2	75	0.595
55.2	76.5	0.755
55.2	78	0.74
55.2	79.5	0.785
55.2	81	0.69
55.2	82.5	0.62
55.2	84	0.445
55.2	85.5	0.38
55.2	87	0.405
55.2	88.5	0.335
55.2	90	0.335

55.1	0	0.56
55.1	1.5	0.35
55.1	3	0.23
55.1	4.5	0.175
55.1	6	0.145
55.1	7.5	0.19
55.1	9	0.32
55.1	10.5	0.495
55.1	12	0.68
55.1	13.5	0.83
55.1	15	0.905
55.1	16.5	0.915
55.1	18	0.8
55.1	19.5	0.645
55.1	21	0.46
55.1	22.5	0.37
55.1	24	0.255
55.1	25.5	0.16
55.1	27	0.225
55.1	28.5	0.45
55.1	30	0.605
55.1	31.5	0.645
55.1	33	0.82
55.1	34.5	0.805
55.1	36	0.835
55.1	37.5	0.745
55.1	39	0.61
55.1	40.5	0.475
55.1	42	0.445
55.1	43.5	0.3
55.1	45	0.325
55.1	46.5	0.27
55.1	48	0.4
55.1	49.5	0.39
55.1	51	0.65
55.1	52.5	0.7
55.1	54	0.75
55.1	55.5	0.795
55.1	57	0.615
55.1	58.5	0.735
55.1	60	0.675
55.1	61.5	0.49
55.1	63	0.36
55.1	64.5	0.375
55.1	66	0.27
55.1	67.5	0.34
55.1	69	0.37
55.1	70.5	0.325
55.1	72	0.535
55.1	73.5	0.655
55.1	75	0.625
55.1	76.5	0.735
55.1	78	0.755
55.1	79.5	0.8
55.1	81	0.6
55.1	82.5	0.515
55.1	84	0.4
55.1	85.5	0.38
55.1	87	0.36
55.1	88.5	0.46
55.1	90	0.365

55	0	0.595
55	1.5	0.465
55	3	0.28
55	4.5	0.185
55	6	0.215
55	7.5	0.26
55	9	0.46
55	10.5	0.565
55	12	0.8
