# sig_gen2_power_set	waittime_set	su_S_North
# "Power"	"waittime"	"su_S_North"
# 10	201
-1.7	30072	0.5
-1.7	30240	0.64
-1.7	30408	0.62
-1.7	30576	0.64
-1.7	30744	0.5
-1.7	30912	0.46
-1.7	31080	0.56
-1.7	31248	0.66
-1.7	31416	0.44
-1.7	31584	0.56
-1.7	31752	0.5
-1.7	31920	0.46
-1.7	32088	0.48
-1.7	32256	0.52
-1.7	32424	0.44
-1.7	32592	0.5
-1.7	32760	0.54
-1.7	32928	0.68
-1.7	33096	0.56
-1.7	33264	0.54
-1.7	33432	0.42
-1.7	33600	0.4

-1.6	0	0.94
-1.6	168	0.92
-1.6	336	0.82
-1.6	504	0.82
-1.6	672	0.52
-1.6	840	0.38
-1.6	1008	0.42
-1.6	1176	0.26
-1.6	1344	0.18
-1.6	1512	0.1
-1.6	1680	0.14
-1.6	1848	0.18
-1.6	2016	0.24
-1.6	2184	0.34
-1.6	2352	0.44
-1.6	2520	0.56
-1.6	2688	0.64
-1.6	2856	0.92
-1.6	3024	0.84
-1.6	3192	0.88
-1.6	3360	0.92
-1.6	3528	0.94
-1.6	3696	0.8
-1.6	3864	0.68
-1.6	4032	0.5
-1.6	4200	0.5
-1.6	4368	0.26
-1.6	4536	0.22
-1.6	4704	0.18
-1.6	4872	0.12
-1.6	5040	0.26
-1.6	5208	0.28
-1.6	5376	0.44
-1.6	5544	0.62
-1.6	5712	0.66
-1.6	5880	0.66
-1.6	6048	0.66
-1.6	6216	0.8
-1.6	6384	0.86
-1.6	6552	0.88
-1.6	6720	0.72
-1.6	6888	0.56
-1.6	7056	0.78
-1.6	7224	0.58
-1.6	7392	0.3
-1.6	7560	0.44
-1.6	7728	0.32
-1.6	7896	0.44
-1.6	8064	0.42
-1.6	8232	0.32
-1.6	8400	0.12
-1.6	8568	0.26
-1.6	8736	0.28
-1.6	8904	0.28
-1.6	9072	0.46
-1.6	9240	0.58
-1.6	9408	0.68
-1.6	9576	0.7
-1.6	9744	0.72
-1.6	9912	0.76
-1.6	10080	0.42
-1.6	10248	0.66
-1.6	10416	0.26
-1.6	10584	0.52
-1.6	10752	0.6
-1.6	10920	0.56
-1.6	11088	0.46
-1.6	11256	0.46
-1.6	11424	0.28
-1.6	11592	0.34
-1.6	11760	0.42
-1.6	11928	0.6
-1.6	12096	0.74
-1.6	12264	0.74
-1.6	12432	0.76
-1.6	12600	0.68
-1.6	12768	0.78
-1.6	12936	0.42
-1.6	13104	0.44
-1.6	13272	0.6
-1.6	13440	0.4
-1.6	13608	0.32
-1.6	13776	0.46
-1.6	13944	0.52
-1.6	14112	0.54
-1.6	14280	0.34
-1.6	14448	0.56
-1.6	14616	0.38
-1.6	14784	0.44
-1.6	14952	0.32
-1.6	15120	0.42
-1.6	15288	0.32
-1.6	15456	0.5
-1.6	15624	0.7
-1.6	15792	0.5
-1.6	15960	0.58
-1.6	16128	0.52
-1.6	16296	0.62
-1.6	16464	0.62
-1.6	16632	0.42
-1.6	16800	0.58
-1.6	16968	0.7
-1.6	17136	0.48
-1.6	17304	0.48
-1.6	17472	0.46
-1.6	17640	0.5
-1.6	17808	0.58
-1.6	17976	0.46
-1.6	18144	0.5
-1.6	18312	0.48
-1.6	18480	0.52
-1.6	18648	0.62
-1.6	18816	0.52
-1.6	18984	0.4
-1.6	19152	0.4
-1.6	19320	0.66
-1.6	19488	0.52
