# sig_gen2_power_set	waittime_set	su_S_North
# "Power"	"waittime"	"su_S_North"
# 10	201
-1.5	7797	0.38
-1.5	7866	0.48
-1.5	7935	0.24
-1.5	8004	0.4
-1.5	8073	0.48
-1.5	8142	0.6
-1.5	8211	0.62
-1.5	8280	0.62
-1.5	8349	0.74
-1.5	8418	0.56
-1.5	8487	0.78
-1.5	8556	0.32
-1.5	8625	0.48
-1.5	8694	0.58
-1.5	8763	0.48
-1.5	8832	0.44
-1.5	8901	0.56
-1.5	8970	0.44
-1.5	9039	0.64
-1.5	9108	0.54
-1.5	9177	0.52
-1.5	9246	0.34
-1.5	9315	0.52
-1.5	9384	0.6
-1.5	9453	0.68
-1.5	9522	0.6
-1.5	9591	0.58
-1.5	9660	0.56
-1.5	9729	0.44
-1.5	9798	0.58
-1.5	9867	0.5
-1.5	9936	0.42
-1.5	10005	0.42
-1.5	10074	0.48
-1.5	10143	0.44
-1.5	10212	0.54
-1.5	10281	0.52
-1.5	10350	0.44
-1.5	10419	0.56
-1.5	10488	0.72
-1.5	10557	0.7
-1.5	10626	0.62
-1.5	10695	0.48
-1.5	10764	0.52
-1.5	10833	0.4
-1.5	10902	0.46
-1.5	10971	0.52
-1.5	11040	0.38
-1.5	11109	0.48
-1.5	11178	0.46
-1.5	11247	0.52
-1.5	11316	0.44
-1.5	11385	0.52
-1.5	11454	0.52
-1.5	11523	0.52
-1.5	11592	0.54
-1.5	11661	0.62
-1.5	11730	0.64
-1.5	11799	0.66
-1.5	11868	0.46
-1.5	11937	0.3
-1.5	12006	0.6
-1.5	12075	0.7
-1.5	12144	0.42
-1.5	12213	0.68
-1.5	12282	0.48
-1.5	12351	0.58
-1.5	12420	0.58
-1.5	12489	0.64
-1.5	12558	0.52
-1.5	12627	0.54
-1.5	12696	0.54
