# Jon_vpB12_set	t_ramp_set	su00	su01	su10	su11
# "Jon_vpB12"	"t_ramp"	"su00"	"su01"	"su10"	"su11"
# 11	81
-79	40	0.126	0.026	0.786	0.062
-79	40.5	0.146	0.032	0.756	0.066
-79	41	0.15	0.022	0.766	0.062
-79	41.5	0.142	0.022	0.786	0.05
-79	42	0.134	0.022	0.796	0.048
-79	42.5	0.166	0.028	0.732	0.074
-79	43	0.17	0.038	0.714	0.078
-79	43.5	0.13	0.034	0.76	0.076
-79	44	0.174	0.042	0.638	0.146
-79	44.5	0.144	0.056	0.65	0.15
-79	45	0.228	0.04	0.626	0.106
-79	45.5	0.178	0.062	0.656	0.104
-79	46	0.18	0.124	0.576	0.12
-79	46.5	0.168	0.136	0.576	0.12
-79	47	0.2	0.062	0.626	0.112
-79	47.5	0.146	0.032	0.748	0.074
-79	48	0.138	0.032	0.758	0.072
-79	48.5	0.134	0.036	0.748	0.082
-79	49	0.174	0.032	0.7	0.094
-79	49.5	0.174	0.026	0.706	0.094
-79	50	0.152	0.03	0.732	0.086
-79	50.5	0.156	0.028	0.73	0.086
-79	51	0.138	0.036	0.742	0.084
-79	51.5	0.136	0.018	0.81	0.036
-79	52	0.148	0.018	0.778	0.056

-81	12	0.11	0.192	0.628	0.07
-81	12.5	0.346	0.068	0.558	0.028
-81	13	0.284	0.134	0.532	0.05
-81	13.5	0.234	0.078	0.646	0.042
-81	14	0.772	0.08	0.124	0.024
-81	14.5	0.246	0.088	0.638	0.028
-81	15	0.104	0.174	0.66	0.062
-81	15.5	0.222	0.03	0.694	0.054
-81	16	0.146	0.048	0.702	0.104
-81	16.5	0.134	0.038	0.756	0.072
-81	17	0.154	0.006	0.786	0.054
-81	17.5	0.114	0.022	0.79	0.074
-81	18	0.158	0.022	0.786	0.034
-81	18.5	0.128	0.022	0.798	0.052
-81	19	0.106	0.01	0.826	0.058
-81	19.5	0.144	0.012	0.808	0.036
-81	20	0.12	0.014	0.82	0.046
-81	20.5	0.128	0.022	0.774	0.076
-81	21	0.114	0.02	0.8	0.066
-81	21.5	0.106	0.022	0.82	0.052
-81	22	0.112	0.042	0.802	0.044
-81	22.5	0.156	0.034	0.758	0.052
-81	23	0.114	0.106	0.732	0.048
-81	23.5	0.14	0.338	0.474	0.048
-81	24	0.204	0.396	0.352	0.048
-81	24.5	0.254	0.34	0.364	0.042
-81	25	0.344	0.048	0.55	0.058
-81	25.5	0.164	0.04	0.702	0.094
-81	26	0.13	0.032	0.8	0.038
-81	26.5	0.11	0.028	0.804	0.058
-81	27	0.124	0.028	0.792	0.056
-81	27.5	0.13	0.02	0.798	0.052
-81	28	0.136	0.024	0.794	0.046
-81	28.5	0.114	0.02	0.812	0.054
-81	29	0.114	0.028	0.808	0.05
-81	29.5	0.114	0.018	0.774	0.094
-81	30	0.12	0.03	0.77	0.08
-81	30.5	0.126	0.028	0.804	0.042
-81	31	0.162	0.024	0.738	0.076
-81	31.5	0.136	0.022	0.768	0.074
-81	32	0.0900000000000001	0.02	0.816	0.074
-81	32.5	0.11	0.03	0.808	0.052
-81	33	0.13	0.02	0.812	0.038
-81	33.5	0.136	0.022	0.794	0.048
-81	34	0.168	0.024	0.774	0.034
-81	34.5	0.136	0.046	0.712	0.106
-81	35	0.156	0.046	0.724	0.074
-81	35.5	0.196	0.028	0.732	0.044
-81	36	0.192	0.018	0.746	0.044
-81	36.5	0.17	0.022	0.778	0.03
-81	37	0.146	0.012	0.786	0.056
-81	37.5	0.158	0.02	0.754	0.068
-81	38	0.15	0.038	0.738	0.074
-81	38.5	0.15	0.018	0.77	0.062
-81	39	0.164	0.028	0.71	0.098
-81	39.5	0.156	0.022	0.76	0.062
-81	40	0.146	0.03	0.772	0.052
-81	40.5	0.148	0.018	0.758	0.076
-81	41	0.108	0.018	0.828	0.046
-81	41.5	0.15	0.024	0.798	0.028
-81	42	0.134	0.012	0.818	0.036
-81	42.5	0.13	0.016	0.804	0.05
-81	43	0.1	0.012	0.82	0.068
-81	43.5	0.142	0.018	0.718	0.122
-81	44	0.122	0.022	0.804	0.052
-81	44.5	0.16	0.038	0.724	0.078
-81	45	0.112	0.066	0.756	0.066
-81	45.5	0.108	0.08	0.754	0.058
-81	46	0.146	0.046	0.77	0.038
-81	46.5	0.142	0.026	0.78	0.052
-81	47	0.154	0.024	0.762	0.06
-81	47.5	0.13	0.024	0.76	0.086
-81	48	0.12	0.024	0.762	0.094
-81	48.5	0.136	0.028	0.78	0.056
-81	49	0.168	0.018	0.744	0.07
-81	49.5	0.126	0.022	0.796	0.056
-81	50	0.142	0.02	0.784	0.054
-81	50.5	0.142	0.018	0.786	0.054
-81	51	0.19	0.018	0.712	0.08
-81	51.5	0.146	0.022	0.79	0.042
-81	52	0.126	0.022	0.784	0.068

-83	12	0.164	0.124	0.658	0.054
-83	12.5	0.214	0.078	0.654	0.054
-83	13	0.404	0.136	0.426	0.034
-83	13.5	0.194	0.228	0.51	0.068
-83	14	0.802	0.096	0.078	0.024
-83	14.5	0.51	0.098	0.352	0.04
-83	15	0.122	0.094	0.738	0.046
-83	15.5	0.19	0.022	0.762	0.026
-83	16	0.172	0.052	0.71	0.066
-83	16.5	0.112	0.03	0.818	0.04
-83	17	0.182	0.026	0.756	0.036
-83	17.5	0.166	0.018	0.778	0.038
-83	18	0.14	0.026	0.778	0.056
-83	18.5	0.168	0.022	0.748	0.062
-83	19	0.136	0.018	0.8	0.046
-83	19.5	0.094	0.014	0.834	0.058
-83	20	0.132	0.018	0.79	0.06
-83	20.5	0.112	0.028	0.732	0.128
-83	21	0.108	0.044	0.802	0.046
-83	21.5	0.152	0.068	0.728	0.052
-83	22	0.154	0.022	0.766	0.058
-83	22.5	0.102	0.18	0.668	0.05
-83	23	0.102	0.432	0.406	0.06
-83	23.5	0.09	0.638	0.232	0.04
-83	24	0.132	0.308	0.506	0.054
-83	24.5	0.318	0.136	0.502	0.044
-83	25	0.518	0.04	0.344	0.098
-83	25.5	0.452	0.046	0.444	0.058
-83	26	0.238	0.038	0.66	0.064
-83	26.5	0.122	0.034	0.786	0.058
-83	27	0.174	0.028	0.718	0.08
-83	27.5	0.166	0.024	0.752	0.058
-83	28	0.144	0.018	0.778	0.06
-83	28.5	0.108	0.036	0.82	0.036
-83	29	0.116	0.012	0.81	0.062
-83	29.5	0.138	0.03	0.708	0.124
-83	30	0.16	0.032	0.75	0.058
-83	30.5	0.136	0.016	0.796	0.052
-83	31	0.122	0.012	0.798	0.068
-83	31.5	0.136	0.034	0.758	0.072
-83	32	0.138	0.026	0.784	0.052
-83	32.5	0.17	0.04	0.716	0.074
-83	33	0.16	0.028	0.758	0.054
-83	33.5	0.16	0.028	0.696	0.116
-83	34	0.162	0.05	0.698	0.09
-83	34.5	0.136	0.046	0.732	0.086
-83	35	0.146	0.04	0.746	0.068
-83	35.5	0.23	0.064	0.614	0.092
-83	36	0.258	0.068	0.606	0.068
-83	36.5	0.256	0.038	0.646	0.06
-83	37	0.228	0.02	0.696	0.056
-83	37.5	0.174	0.026	0.736	0.064
-83	38	0.164	0.03	0.714	0.092
-83	38.5	0.172	0.052	0.62	0.156
-83	39	0.156	0.034	0.744	0.066
-83	39.5	0.162	0.022	0.748	0.068
-83	40	0.138	0.03	0.756	0.076
-83	40.5	0.156	0.012	0.784	0.048
-83	41	0.17	0.026	0.752	0.052
-83	41.5	0.166	0.028	0.752	0.054
-83	42	0.168	0.024	0.748	0.06
-83	42.5	0.126	0.04	0.782	0.052
-83	43	0.132	0.024	0.732	0.112
-83	43.5	0.148	0.068	0.74	0.044
-83	44	0.116	0.062	0.776	0.046
-83	44.5	0.154	0.084	0.708	0.054
-83	45	0.156	0.044	0.752	0.048
-83	45.5	0.146	0.038	0.764	0.052
-83	46	0.116	0.038	0.804	0.042
-83	46.5	0.138	0.022	0.784	0.056
-83	47	0.15	0.02	0.754	0.076
-83	47.5	0.16	0.03	0.724	0.086
-83	48	0.154	0.024	0.756	0.066
-83	48.5	0.162	0.032	0.734	0.072
-83	49	0.146	0.016	0.79	0.048
-83	49.5	0.138	0.016	0.778	0.068
-83	50	0.162	0.016	0.778	0.044
-83	50.5	0.138	0.026	0.748	0.088
-83	51	0.14	0.018	0.768	0.074
-83	51.5	0.18	0.034	0.696	0.09
-83	52	0.18	0.058	0.602	0.16

-85	12	0.244	0.038	0.676	0.042
-85	12.5	0.136	0.054	0.762	0.048
-85	13	0.492	0.102	0.378	0.028
-85	13.5	0.118	0.358	0.46	0.064
-85	14	0.556	0.122	0.276	0.046
-85	14.5	0.54	0.094	0.314	0.052
-85	15	0.22	0.064	0.682	0.034
-85	15.5	0.174	0.03	0.746	0.05
-85	16	0.314	0.026	0.592	0.068
-85	16.5	0.176	0.01	0.778	0.036
-85	17	0.134	0.022	0.794	0.05
-85	17.5	0.166	0.018	0.752	0.064
-85	18	0.134	0.024	0.792	0.05
-85	18.5	0.128	0.028	0.802	0.042
-85	19	0.134	0.04	0.776	0.05
-85	19.5	0.12	0.028	0.8	0.052
-85	20	0.106	0.03	0.778	0.086
-85	20.5	0.148	0.024	0.752	0.076
-85	21	0.14	0.078	0.718	0.064
-85	21.5	0.126	0.054	0.738	0.082
-85	22	0.178	0.122	0.652	0.048
-85	22.5	0.082	0.576	0.308	0.034
-85	23	0.0619999999999999	0.754	0.138	0.046
-85	23.5	0.136	0.388	0.426	0.05
-85	24	0.164	0.092	0.688	0.056
-85	24.5	0.154	0.104	0.628	0.114
-85	25	0.492	0.062	0.382	0.064
-85	25.5	0.76	0.058	0.138	0.044
-85	26	0.664	0.03	0.262	0.044
-85	26.5	0.344	0.026	0.578	0.052
-85	27	0.162	0.03	0.736	0.072
-85	27.5	0.196	0.018	0.734	0.052
-85	28	0.192	0.018	0.75	0.04
-85	28.5	0.154	0.026	0.742	0.078
-85	29	0.164	0.044	0.66	0.132
-85	29.5	0.12	0.028	0.792	0.06
-85	30	0.128	0.02	0.8	0.052
-85	30.5	0.17	0.03	0.74	0.06
-85	31	0.1	0.038	0.818	0.044
-85	31.5	0.134	0.022	0.786	0.058
-85	32	0.146	0.03	0.766	0.058
-85	32.5	0.152	0.028	0.766	0.054
-85	33	0.118	0.074	0.716	0.092
-85	33.5	0.188	0.068	0.616	0.128
-85	34	0.162	0.072	0.684	0.082
-85	34.5	0.204	0.052	0.652	0.092
-85	35	0.21	0.062	0.606	0.122
-85	35.5	0.142	0.04	0.72	0.098
-85	36	0.196	0.06	0.664	0.08
-85	36.5	0.21	0.046	0.652	0.092
-85	37	0.338	0.058	0.522	0.082
-85	37.5	0.346	0.034	0.514	0.106
-85	38	0.33	0.056	0.502	0.112
-85	38.5	0.188	0.034	0.714	0.064
-85	39	0.178	0.022	0.752	0.048
-85	39.5	0.16	0.012	0.764	0.064
-85	40	0.146	0.034	0.744	0.076
-85	40.5	0.154	0.026	0.766	0.054
-85	41	0.144	0.034	0.736	0.086
-85	41.5	0.178	0.022	0.712	0.088
-85	42	0.164	0.028	0.708	0.1
-85	42.5	0.144	0.048	0.704	0.104
-85	43	0.148	0.054	0.744	0.054
-85	43.5	0.172	0.072	0.69	0.066
-85	44	0.206	0.07	0.61	0.114
-85	44.5	0.188	0.044	0.704	0.064
-85	45	0.196	0.038	0.688	0.078
-85	45.5	0.17	0.082	0.596	0.152
-85	46	0.202	0.062	0.63	0.106
-85	46.5	0.186	0.138	0.446	0.23
-85	47	0.154	0.11	0.556	0.18
-85	47.5	0.192	0.07	0.602	0.136
-85	48	0.218	0.034	0.648	0.1
-85	48.5	0.204	0.064	0.612	0.12
-85	49	0.222	0.076	0.568	0.134
-85	49.5	0.264	0.106	0.49	0.14
-85	50	0.226	0.062	0.57	0.142
-85	50.5	0.236	0.142	0.434	0.188
-85	51	0.134	0.02	0.752	0.094
-85	51.5	0.198	0.036	0.69	0.076
-85	52	0.182	0.032	0.748	0.038
